EntityName,EntityColumn
1.92504E+11,Magento_Quantity_USA_A 
1.92504E+11,salsify:parent_id
1.92504E+11,salsify:data_inheritance_hierarchy_level_id
1.92504E+11,Grid_Value_USA_S 
1.92504E+11,Material_Num_USA_S 
1.92504E+11,UPC_GLO_S 
1.92504E+11,Product_Region_GLO_S 
1.92504E+11,Fiber_Type_GLO_S 
1.92504E+11,Material_Desc_USA_S 
1.92504E+11,Size_Code_USA_S 
1.92504E+11,Size_Desc_GLO_S 
1.92504E+11,Country_of_Origin_GLO_S 
1.92504E+11,Tax_Code_USA_S 
1.92504E+11,Amazon_ASIN_GLO_M 
1.92504E+11,Amazon_Verified_Earliest_Ship_Date_GLO_A 
1.92504E+11,AMZ Earliest Ship Date USA M 
1.92504E+11,AMZ Item Booking Date USA M 
1.92504E+11,Magento_SKU_GLO_A 
1.92504E+11,Magento_Price_USA_A 
1.92504E+11,Magento_Price_USA_A 
1.92504E+11,Magento_Product_Name_USA_A 
1.92504E+11,Magento_Product_Name_USA_A 
1.92504E+11,Magento_Quantity_USA_A 
1.92504E+11,Magento_Quantity_USA_A 
1.92504E+11,salsify:parent_id
1.92504E+11,salsify:data_inheritance_hierarchy_level_id
M20402_DEVSTY,Brand_GLO_S 
M20402_DEVSTY,Gender_GLO_S 
M20402_DEVSTY,Product_Region_GLO_S 
M20402_DEVSTY,Source_System_GLO_S 
M20402_DEVSTY,UOM_GLO_S 
M20402_DEVSTY,salsify:data_inheritance_hierarchy_level_id
M20402,Style_GLO_S 
M20402,Brand_Group_USA_S 
M20402,Category_USA_S 
M20402,Commission_Group_USA_S 
M20402,Gender_Category_USA_S 
M20402,Product_Group_USA_S 
M20402,Silhouette_USA_S 
M20402,Sub_Brand_USA_S 
M20402,Sub_Category_USA_S 
M20402,Attribute_Code_USA_S 
M20402,Magento_Product_Name_USA_A 
M20402,Magento_Product_Name_USA_A 
M20402,salsify:parent_id
M20402,salsify:data_inheritance_hierarchy_level_id
M20402_AGQD,NRF_Color_Code_USA_S 
M20402_AGQD,Color_Code_GLO_S 
M20402_AGQD,Color_Desc_GLO_S 
M20402_AGQD,Magento_SKU_GLO_A 
M20402_AGQD,salsify:parent_id
M20402_AGQD,salsify:data_inheritance_hierarchy_level_id
8.89835E+11,Grid_Value_USA_S 
8.89835E+11,Material_Num_USA_S 
8.89835E+11,UPC_GLO_S 
8.89835E+11,Fiber_Type_GLO_S 
8.89835E+11,Material_Desc_USA_S 
8.89835E+11,NRF_Size_Code_USA_S 
8.89835E+11,Compact_Size_Desc_GLO_S 
8.89835E+11,Size_Code_USA_S 
8.89835E+11,Size_Desc_GLO_S 
8.89835E+11,Case_Qty_USA_S 
8.89835E+11,Country_of_Origin_Code_GLO_S 
8.89835E+11,Country_of_Origin_GLO_S 
8.89835E+11,Tax_Code_USA_S 
8.89835E+11,Magento_SKU_GLO_A 
8.89835E+11,Magento_Price_USA_A 
8.89835E+11,Magento_Price_USA_A 
8.89835E+11,Magento_Product_Name_USA_A 
8.89835E+11,Magento_Product_Name_USA_A 
8.89835E+11,Magento_Quantity_USA_A 
8.89835E+11,Magento_Quantity_USA_A 
8.89835E+11,salsify:parent_id
